id	PND	Forelimb_grasp	Forelimb_placing	Gait	Walk	Surface_T_(s)	NG_turn	NG_top	Auditory_startle	Tactile_startle	Air_righting	Wire	Weight_(g)	Ears_unfolding	Ears_twitch	Gait_b	Walk_b	Eyes_opened_left	Eyes_opened_right	Incisor_eruption
3	13	1	1	09.27	14.81	00.66	05.27	20.87	1	1	1	10.72	7.729	1	0	1	1	1	1	1
4	13	1	1	02.21	05.31	00.52	12.15	60.00	1	1	1	04.85	8.174	1	0	1	1	1	1	1
5	13	1	1	04.74	05.78	00.47	03.17	13.50	1	1	1	12.57	7.234	1	0	1	1	1	1	1
6	13	1	1	02.58	03.35	00.35	03.49	60.00	1	1	1	04.22	7.556	1	0	1	1	1	1	1
7	13	1	1	17.05	20.94	00.40	03.65	07.60	1	1	1	10.75	5.437	1	0	1	1	1	1	1
8	13	1	1	03.93	08.78	00.28	01.95	13.12	0	1	1	09.71	5.142	1	0	1	1	1	1	1
9	13	1	1	22.61	24.81	00.28	06.52	26.47	0	1	1	05.59	4.943	1	0	1	1	1	1	1
10	13	1	1	04.33	07.56	01.10	02.05	60.00	0	1	1	09.34	5.122	1	0	1	1	1	1	1
0	14	1	1	00.33	01.56	00.25	02.46	60.00	1	1	1	06.94	7.508	1	0	1	1	1	1	1
1	14	1	1	15.93	17.13	00.65	02.34	60.00	1	1	1	01.70	7.109	1	0	1	1	1	1	1
2	14	1	1	01.90	04.81	00.53	04.11	60.00	1	1	1	04.54	7.805	1	0	1	1	1	1	1
3	14	1	1	15.08	17.16	00.35	07.11	60.00	1	1	1	25.22	7.334	1	0	1	1	1	1	1
4	14	1	1	01.18	01.91	00.32	02.74	05.50	1	1	1	07.35	8.382	1	0	1	1	1	1	1
5	14	1	1	01.05	01.93	00.66	02.15	03.47	1	1	1	12.78	7.565	1	0	1	1	1	1	1
6	14	1	1	04.07	08.50	00.56	04.45	26.96	1	1	1	11.60	7.828	1	0	1	1	1	1	1
7	14	1	1	06.47	10.14	00.44	02.34	05.48	1	1	1	19.75	5.941	1	0	1	1	1	1	1
8	14	1	1	02.99	07.88	00.19	03.43	09.68	1	1	1	07.12	5.087	1	0	1	1	1	1	1
9	14	1	1	02.71	05.49	00.25	02.37	60.00	1	1	1	07.41	4.901	1	0	1	1	1	1	1
10	14	1	1	12.29	15.09	00.22	11.52	60.00	1	1	1	12.47	5.136	1	0	1	1	1	1	1
0	15	1	1	01.78	03.60	00.22	60.00	60.00	1	1	1	05.05	7.473	1	1	1	1	1	1	1
1	15	1	1	01.99	03.78	00.38	06.21	60.00	1	1	1	02.66	7.076	1	1	1	1	1	1	1
2	15	1	1	02.52	04.78	00.40	60.00	60.00	1	1	1	13.09	7.883	1	1	1	1	1	1	1
3	15	1	1	07.23	08.62	00.25	06.98	12.50	1	1	1	30.12	7.270	1	1	1	1	1	1	1
4	15	1	1	00.86	04.43	00.38	60.00	60.00	1	1	1	04.38	8.425	1	1	1	1	1	1	1
5	15	1	1	01.55	04.19	00.32	60.00	60.00	1	1	1	05.03	7.647	1	1	1	1	1	1	1
6	15	1	1	02.87	03.88	00.32	04.89	60.00	1	1	1	10.94	7.782	1	0	1	1	1	1	1
7	15	1	1	03.96	07.03	00.34	07.93	18.97	1	1	1	07.88	5.540	1	1	1	1	1	1	1
8	15	1	1	04.18	07.07	00.35	04.80	13.00	1	1	1	08.12	5.344	1	1	1	1	1	1	1
9	15	1	1	01.27	08.44	00.34	07.11	60.00	1	1	1	07.10	4.840	1	1	1	1	1	1	1
10	15	1	1	01.49	03.06	00.28	04.39	17.78	1	1	1	11.50	5.239	1	0	1	1	1	1	1
0	16	1	1	02.58	03.27	00.19	60.00	60.00	1	1	1	03.84	7.284	1	1	1	1	1	1	1
1	16	1	1	01.27	02.86	00.28	60.00	60.00	1	1	1	25.15	6.820	1	1	1	1	1	1	1
2	16	1	1	02.05	07.62	00.22	60.00	60.00	1	1	1	08.46	7.638	1	1	1	1	1	1	1
3	16	1	1	00.59	02.41	00.50	03.33	05.48	1	1	1	33.22	6.799	1	1	1	1	1	1	1
4	16	1	1	00.68	01.58	00.43	60.00	60.00	1	1	1	36.40	8.275	1	1	1	1	1	1	1
5	16	1	1	03.55	05.88	00.44	04.56	60.00	1	1	1	13.37	7.417	1	1	1	1	1	1	1
6	16	1	1	00.78	01.49	00.22	60.00	60.00	1	1	1	07.28	7.561	1	0	1	1	1	1	1
7	16	1	1	01.39	05.48	00.22	04.30	06.25	1	1	1	07.96	5.518	1	1	1	1	1	1	1
8	16	1	1	02.48	05.09	00.38	06.38	09.25	1	1	1	43.75	5.430	1	1	1	1	1	1	1
9	16	1	1	04.63	05.52	00.27	03.24	60.0	1	1	1	05.19	4.750	1	1	1	1	1	1	1
10	16	1	1	07.18	17.54	00.38	05.67	60.0	1	1	1	08.82	5.151	1	0	1	1	1	1	1
0	17	1	1	12.18	12.91	00.34	04.58	60.00	1	1	1	05.61	7.046	1	1	1	1	1	1	1
1	17	1	1	01.09	01.44	01.09	08.98	60.00	1	1	1	11.81	6.459	1	1	1	1	1	1	1
2	17	1	1	06.87	07.16	00.03	60.00	60.00	1	1	1	06.71	7.703	1	1	1	1	1	1	1
3	17	1	1	01.12	01.88	00.22	08.92	60.00	1	1	1	25.00	7.632	1	1	1	1	1	1	1
4	17	1	1	00.47	01.53	00.47	60.00	60.00	1	1	1	19.84	8.150	1	1	1	1	1	1	1
5	17	1	1	01.56	03.84	00.22	04.61	60.00	1	1	1	29.50	7.143	1	1	1	1	1	1	1
6	17	1	1	02.83	03.37	00.40	60.00	60.00	1	1	1	21.18	7.340	1	1	1	1	1	1	1
7	17	1	1	09.58	11.93	01.11	03.24	05.79	1	1	1	60.00	5.556	1	1	1	1	1	1	1
8	17	1	1	55.89	56.90	00.50	60.00	60.00	1	1	1	09.69	5.500	1	1	1	1	1	1	1
9	17	1	1	03.43	04.69	00.60	05.21	09.38	1	1	1	28.74	4.724	1	1	1	1	1	1	1
10	17	1	1	56.99	60.00	00.91	02.18	17.41	1	1	1	06.60	5.284	1	1	1	1	1	1	1
0	18	1	1	07.20	09.87	00.58	02.98	60.00	1	1	1	17.30	6.857	1	1	1	1	1	1	1
1	18	1	1	02.43	04.44	00.40	60.00	60.00	1	1	1	31.91	6.581	1	1	1	1	1	1	1
2	18	1	1	13.08	19.94	00.53	60.00	60.00	1	1	1	12.91	7.667	1	1	1	1	1	1	1
3	18	1	1	36.65	38.22	00.73	08.18	60.00	1	1	1	36.40	6.849	1	1	1	1	1	1	1
4	18	1	1	60.00	60.00	00.77	60.00	60.00	1	1	1	60.00	8.272	1	1	1	1	1	1	1
5	18	1	1	01.24	02.13	00.64	02.27	60.00	1	1	1	04.85	7.151	1	1	1	1	1	1	1
6	18	1	1	02.68	03.84	00.80	60.00	60.00	1	1	1	39.77	7.547	1	1	1	1	1	1	1
7	18	1	1	09.55	11.57	00.53	02.12	60.00	1	1	1	60.00	5.707	1	1	1	1	1	1	1
8	18	1	1	01.02	01.97	00.53	06.95	60.00	1	1	1	36.34	5.674	1	1	1	1	1	1	1
9	18	1	1	60.00	60.00	00.35	05.34	60.00	1	1	1	03.60	4.752	1	1	1	1	1	1	1
10	18	1	1	20.24	25.66	00.31	60.00	60.00	1	1	1	07.12	5.281	1	1	1	1	1	1	1
0	19	1	1	06.77	08.06	00.25	60.00	60.00	1	1	1	27.94	6.805	1	1	1	1	1	1	1
1	19	1	1	02.02	04.16	00.22	07.87	60.00	1	1	1	25.78	6.434	1	1	1	1	1	1	1
2	19	1	1	51.30	51.65	00.38	05.89	20.44	1	1	1	56.19	7.783	1	1	1	1	1	1	1
3	19	1	1	02.23	03.56	00.22	16.45	60.00	1	1	1	45.25	6.763	1	1	1	1	1	1	1
4	19	1	1	02.62	14.16	00.22	60.00	60.00	1	1	1	21.40	8.296	1	1	1	1	1	1	1
5	19	1	1	01.55	06.34	00.35	60.00	60.00	1	1	1	11.53	7.221	1	1	1	1	1	1	1
6	19	1	1	00.92	01.93	00.34	12.20	18.65	1	1	1	15.19	7.390	1	1	1	1	1	1	1
7	19	1	1	11.18	13.31	00.25	02.92	60.00	1	1	1	60.00	5.957	1	1	1	1	1	1	1
8	19	1	1	01.36	04.47	00.36	60.00	60.00	1	1	1	32.62	5.766	1	1	1	1	1	1	1
9	19	1	1	55.36	60.00	00.32	02.08	60.00	1	1	1	03.54	4.741	1	1	1	1	1	1	1
10	19	1	1	19.46	22.19	00.35	60.00	60.00	1	1	1	09.94	5.676	1	1	1	1	1	1	1
0	20	1	1	14.49	18.19	00.26	60.00	60.00	1	1	1	17.85	7.198	1	1	1	1	1	1	1
1	20	1	1	17.80	24.75	00.32	05.20	60.00	1	1	1	16.55	6.447	1	1	1	1	1	1	1
2	20	1	1	33.02	60.00	00.22	11.05	60.00	1	1	1	43.28	7.881	1	1	1	1	1	1	1
3	20	1	1	18.08	60.00	00.16	05.21	60.00	1	1	1	60.00	6.921	1	1	1	1	1	1	1
4	20	1	1	60.00	60.00	00.17	60.00	60.00	1	1	1	60.00	8.515	1	1	1	1	1	1	1
5	20	1	1	60.00	60.00	00.30	03.84	60.00	1	1	1	04.97	7.333	1	1	1	1	1	1	1
6	20	1	1	11.77	15.59	00.14	60.00	60.00	1	1	1	21.78	7.589	1	1	1	1	1	1	1
7	20	1	1	03.30	05.00	00.21	04.89	09.12	1	1	1	46.91	6.083	1	1	1	1	1	1	1
8	20	1	1	03.67	06.40	00.19	60.00	60.00	1	1	1	24.03	5.901	1	1	1	1	1	1	1
9	20	1	1	21.09	60.00	00.15	60.00	60.00	1	1	1	05.59	4.621	1	1	1	1	1	1	1
